,Title,Published_date,Views,Likes,Comments,Month
95,BEST PLACE TO RIDE A SPORTS TOURER BIKE | Triumph Tiger Sport 660 | Moto vlog,2022-05-15,100474,6969,333,May
96,Riding the Tiger in the Ghats of Dehradun | Tiger Sport 660 | Part01,2022-05-02,272422,15354,579,May
97,Butterscotch Special Announcement!,2022-04-29,80027,7763,197,Apr
98,What it means to own your Dream Bike,2022-04-24,1029587,69469,4736,Apr
99,MY FIRST MOTOVLOG with something new!,2022-03-27,342887,24137,2218,Mar
100,A LOVE LETTER TO MY DAD'S ROYAL ENFIELD ❤,2022-03-13,416313,38017,3320,Mar
101,Road Rage: Romantic Bad Drivers of Mumbai | Daily Observations India #64 2022,2022-03-06,475846,27324,2486,Mar
102,Why INDIAN ROADS are NEVER SAFE,2022-02-13,5071596,176645,9312,Feb
103,Why Royal Enfields are best together | Bike Ride Vlog,2022-02-06,274906,14240,917,Feb
104,CRASHED WITH WHOLE FAMILY | Daily Observations India #63 2022 | Bad Drivers Mumbai | Risky Accident,2022-01-30,728020,31337,1506,Jan
105,WHY DO YOU EVEN EXIST? | Daily Observations India #62 2022 | Bad Drivers Mumbai | Road Rage,2022-01-23,211003,13321,772,Jan
106,NEVER EVER DO THIS! | Daily Observations India #61 2021 | Dangerous Bad Drivers Mumbai | Road Rage,2022-01-10,254760,15716,803,Jan
107,EVERY BIKER'S WORST NIGHTMARE | Daily Observations India #60 2021 | Bad Drivers Mumbai | Road Rage,2021-12-27,174402,11148,501,Dec
108,ROAD RAGE: Idiots Driving on the Wrong Side | Daily Observations India #59 2021 | Bad Drivers Mumbai,2021-12-20,519830,23161,617,Dec
109,The Most Humble Prime Minister in the World | Daily Observations India #58 2021 | Bad Drivers Mumbai,2021-12-12,177543,11596,342,Dec
110,Mumbai to Malshej Ghat Bike Ride | Triumph Trident | 50K | Daily Observations India #57 2021 | EP 03,2021-11-30,109977,6293,372,Nov
111,Mumbai to Malshej Ghat ride on Triumph Trident 660 | 50k | Best Camping Place | EP 02 of 03,2021-11-21,148332,8215,423,Nov
112,First Ride on a Superbike | Malshej Ghat | 50k Special | Daily Observations India #55 2021 | EP 01,2021-11-07,162249,10974,515,Nov
113,The Superbike Dream of A Middle Class Indian | Triumph Trident 660 Review,2021-10-24,1655295,47384,2517,Oct
114,When it Rains for 1 Hour in MUMBAI 💀 | Mumbai Rains | Daily Observations India #54 2021 | Road Rage,2021-10-10,411039,21663,858,Oct
115,TVS Raider 125 | Rethinking Commuters | Presenting TVS Raider 125cc,2021-10-04,158381,7265,746,Oct
116,Idiots on Road India | Daily Observations India #53 2021 | Bad Drivers Mumbai | Road Rage,2021-09-26,467317,24109,1306,Sep
117,The Wicked Ride coming soon by TVS,2021-09-14,119553,7435,126,Sep
118,ROAD RAGE: CRASHED INTO ME | Daily Observations India #52 2021 | Bad Drivers Mumbai | Vaccination #2,2021-09-05,602519,29314,2156,Sep
119,WHY ARE WE SO VIOLENT? | Daily Observations India #51 2021 | Bad Drivers Mumbai | Road Rage,2021-08-29,215553,13600,912,Aug
120,Getting Kidnapped by  @Mortal Moto  on 15th August (CLICKBAIT) | Independence Day Ride 2021 | Mumbai,2021-08-23,87710,6876,736,Aug
121,ROSSI OF ANDHERI | Daily Observations India #50 2021 | Bad Drivers Mumbai | Road Rage,2021-08-16,337678,18184,1032,Aug
122,DON'T BE THIS GUY | Daily Observations India #49 2021 | Bad Drivers Mumbai | Road Rage,2021-08-08,342554,19971,1036,Aug
123,DO YOU REALLY NEED RIDING GEAR? | Rynox Tornado Pro 4 Review | Riding Jacket under 10000 | India,2021-08-01,147869,13864,726,Aug
124,After Watching Every YouTuber in Ladakh | Leh Ladakh 2021 Parody,2021-07-19,231104,19515,2216,Jul
125,How to Road Rage | Daily Observations India #48 2021 | Bad Drivers Mumbai,2021-07-11,331032,18283,1029,Jul
126,ROAD RAGE: How to Deal with IDIOTS | Daily Observations India #47 2021 | Bad Mumbai Drivers,2021-07-05,294508,17729,901,Jul
127,"Ather 450x Review by a Royal Enfield owner | Price in India, Battery Charging, Range, Top Speed Test",2021-06-28,618010,19867,1104,Jun
128,Dangerous Roads of Matheran | Indian Daily Observations #46 2021 | Close Call ft.@MortalMoto,2021-06-14,258864,12947,810,Jun
129,Crashed into a Footpath | Vaccination Vlog | Indian Daily Observations #45 2021 | Bad Mumbai Drivers,2021-06-06,214062,12489,677,Jun
130,THIS CAN CAUSE DEATH| Indian Daily Observations #44 2021 | Road Rage | Bad Mumbai Drivers Close Call,2021-05-23,116255,8061,514,May
131,THEY GIVE US A BAD NAME | Indian Daily Observations #43 2021 | Road Rage India | Bad Mumbai Drivers,2021-05-16,144733,9821,552,May
132,TURN INDICATORS ARE A MYTH | Indian Daily Observations #42 2021 | Bad Mumbai Drivers | Aksa Beach,2021-05-09,66817,5775,535,May
133,WHY DO YOU DO THIS? | Indian Daily Observations #41 2021 | Road Rage | Bad Mumbai Drivers,2021-05-02,207004,10635,828,May
134,WHO BROKE MY MIRROR?| Indian Daily Observations #40 2021 | Road Rage | Bad Mumbai Drivers | Lockdown,2021-04-25,236680,12572,990,Apr
135,Hidden Place Near Mumbai 4K | Best Lake Side Camping | Indian Daily Observations#39 2021 | Ep. 2,2021-04-18,82157,5309,491,Apr
136,On PHONE in Middle of the HIGHWAY | Indian Daily Observations #38 2021 Road Rage | Bhandardara Ep 01,2021-04-07,81564,6624,990,Apr
137,When Idiots Meet! | Indian Daily Observations #37 2021 | Road Rage | Bad Mumbai Drivers | Close Call,2021-03-21,867191,32125,1363,Mar
138,THEY DON'T CARE | Konkan to Mumbai by Road | Solo Bike Ride | Daily Observations #36 2020 Ep. 4 of 4,2021-03-14,172403,9984,706,Mar
